place_id,name,price_level_combined,user_ratings_total,combined_rating,geometry.location.lat,geometry.location.lng,combined_main_category,sub_category,district,district_cluster,combined_main_category_2
ChIJBWoH-NhkjEcRxSzM9bZ1X-c,La Boulangerie Des Grottes,4.0,74.0,4.6,46.2098168,6.140181,General / Fast food / Snacks / Take Away,Sandwich / Snacks,Grottes Saint-Gervais,23,Fast Food
ChIJxavryNV6jEcRDPWN8zqxJZ4,Restaurant Vale D'ave,4.0,63.0,4.4,46.1939493,6.1410849,General / Restaurant,,La Cluse - Philosophes,28,General
ChIJAZXGytV6jEcRTMNPCL4jemI,Le marcel,3.0,236.0,4.4,46.1940442,6.1416456,General / Bar / Pub / Bistro,,La Cluse - Philosophes,28,General
ChIJR3hytNV6jEcRs83cKo8oZq0,Sushi Misuji,3.0,280.0,4.3,46.1944781,6.1415341,Japanese,Sushi,La Cluse - Philosophes,28,Asian
ChIJ7-QUuNV6jEcRE8mS7tOHgf8,Melon & Cie,,,,46.1943467,6.1410884,"Hamburger, Pizza, Italian",,La Cluse - Philosophes,28,Fast Food
ChIJoU03zCJ7jEcR7_BN44YmTm0,mun'cheez,,,,46.1944558,6.1413766,"Hamburger, American",,La Cluse - Philosophes,28,"Hamburger, American"
ChIJSVkCaipljEcRuPp4O-BXnnU,Café Restaurant du Grütli,3.0,415.0,4.2,46.2009373,6.1416095,"European, French",,Cité-Centre,34,European
ChIJvRy3zuxljEcRyZnepjtnHTs,Monsieur Bouillon,3.0,137.0,3.7,46.2030077,6.141095,"European, French",,Cité-Centre,34,European
ChIJad3DK9ZkjEcRerUNqPMyBo4,GRAND CENTRAL @ Halles de l'Île,3.0,1186.0,3.6,46.2047583,6.1409528,"Swiss, European",,Grottes Saint-Gervais,21,European
ChIJSWn-45RljEcR-HDhuZD0nPI,BLAQK - Food for Pleasure,3.0,277.0,2.8,46.204666,6.1411669,"Hamburger, American",,Grottes Saint-Gervais,21,"Hamburger, American"
ChIJva4kRSJljEcRoFEFY79JkkQ,Yao kitchen,4.0,1.0,5.0,46.2047715,6.1411757,General / Restaurant,,Grottes Saint-Gervais,21,General
ChIJVR9fBShljEcRboAUTlzPlGs,curry club by chef urvi,4.0,12.0,4.7,46.2047715,6.1411757,Indian,,Grottes Saint-Gervais,21,Asian
ChIJI5dq4ddkjEcRVPEzfdAOtHM,Saint-Gervais,3.0,102.0,4.6,46.2063876,6.1414056,"Swiss, European, French",,Grottes Saint-Gervais,21,European
ChIJ4d6ikaNljEcR5Yz4BcT1pTg,"Bali Palace Indonesia Restaurant, Geneva, Switzerland",4.0,82.0,4.8,46.2063579,6.1413908,Other Asian,Indonesian,Grottes Saint-Gervais,21,Asian
ChIJT-Q9HihljEcRIQwEQyBg0ns,Da Piedade Oliveira & Cie,4.0,8.0,4.6,46.2063332,6.1415858,General / Restaurant,,Grottes Saint-Gervais,21,General
ChIJX-jL_ddkjEcRGr0PXNu74eU,La Mère Royaume,3.0,165.0,4.1,46.2069444,6.1413889,French,,Grottes Saint-Gervais,21,European
ChIJldnBd-xljEcR9XM9PkGPCPw,Lucky Brothers,3.0,157.0,4.3,46.207196,6.141552,General / Bar / Pub / Bistro,,Grottes Saint-Gervais,21,General
ChIJ21nu8CdljEcRgmuF8f1S1GE,Ayam Sa,,,,46.2070453,6.1417114,Chicken,,Grottes Saint-Gervais,21,Fast Food
ChIJrYx65fZljEcRBQrqP3UwCis,BAOTI - for bun lovers,3.0,78.0,4.6,46.2074083,6.1417423,Chinese,Dim sum,Grottes Saint-Gervais,21,Asian
ChIJ2XUJEthkjEcRJlvozfJubIc,Brasserie Bagatelle,3.0,618.0,4.1,46.2083443,6.1412326,French,,Grottes Saint-Gervais,21,European
ChIJpYyKhsRljEcRlYvSGoAma-Q,Intensus,4.0,57.0,4.9,46.2079346,6.1415865,General / Restaurant,,Grottes Saint-Gervais,21,General
ChIJvT0_yN5ljEcRUnbwPO5A3BE,Pinhto Thaï,4.0,15.0,4.1,46.2097275,6.1414109,Thai,,Grottes Saint-Gervais,19,Asian
ChIJx_FHgNhkjEcRXImtbIDovc8,Brezelkönig,4.0,42.0,3.1,46.2101704,6.1418881,General / Fast food / Snacks / Take Away,Sandwich / Snacks,Grottes Saint-Gervais,19,Fast Food
ChIJrx49jtpkjEcRER32IMvb3fU,Gazelle d'Or,3.0,290.0,4.2,46.2086441,6.1330195,African,Eritrean,Grottes Saint-Gervais,20,Middle Eastern & African
ChIJvbgovdhkjEcRK3uHpOLe5qA,Restaurant Café de la Gare Genève,3.0,86.0,3.8,46.2110743,6.1419264,General / Bar / Pub / Bistro,,Grottes Saint-Gervais,19,General
ChIJB4yksNhkjEcRY_YH7FimAbU,Corail Rose,3.0,228.0,4.1,46.2115606,6.1416944,Seafood,,Grottes Saint-Gervais,19,Seafood
ChIJ20uFCOFkjEcRU3r5qwIf5oI,Sagano,3.0,273.0,4.1,46.21998,6.141467,Japanese,Sushi,Pâquis Sécheron,27,Asian
ChIJ12moBuFkjEcRnleIYKnvrsg,Boulangerie J-C Ruckstuhl,4.0,32.0,4.1,46.2197804,6.1412092,General / Fast food / Snacks / Take Away,Sandwich / Snacks,Pâquis Sécheron,27,Fast Food
ChIJUaj_nuFkjEcRPvwC3kt36Z8,Thai Phuket,3.0,244.0,3.8,46.220597,6.141932,Thai,,Pâquis Sécheron,27,Asian
ChIJUaj_nuFkjEcR6EuvMYLy8RY,Sundae Sa,,,,46.2205971,6.141932,General / Café,,Pâquis Sécheron,27,General
ChIJ60CngtZ6jEcRbXw0vY4M_4U,6ème sens,4.0,67.0,4.4,46.1928071,6.1420379,General / Café,,La Cluse - Philosophes,28,General
ChIJc1pnZER7jEcRUiAbFl1ZsE0,Sandwichs Minute-Shop Alimentation,4.0,1.0,5.0,46.1936526,6.1427046,General / Fast food / Snacks / Take Away,Sandwich / Snacks,La Cluse - Philosophes,28,Fast Food
ChIJ8dEy0yN7jEcRcI8chM-DLIU,Sauvage,4.0,55.0,4.9,46.1942106,6.1423088,General / Bar / Pub / Bistro,,La Cluse - Philosophes,28,General
ChIJNR1QVEt7jEcRmePJQKGf1gA,BELGA,2.0,817.0,4.5,46.1942106,6.1423088,All Other,Belgian,La Cluse - Philosophes,28,All Other
ChIJu2A5TNR6jEcRC_VykZOhNo0,Le Samouraï,3.0,64.0,4.4,46.1946887,6.1421485,Japanese,Sushi,La Cluse - Philosophes,28,Asian
ChIJu2A5TNR6jEcRYgBlGGooO2s,Tien Hun Sa,4.0,1.0,4.0,46.1946887,6.1421485,General / Bar / Pub / Bistro,,La Cluse - Philosophes,28,General
