,name,place_id,types,price_level,rating,user_ratings_total,vicinity,plus_code.global_code,geometry.location.lat,geometry.location.lng
446,Pho’,ChIJgyY7RiBljEcRQuPsF5UopUk,"['restaurant', 'food', 'point_of_interest', 'establishment']",,0,0,"Rue Louis-Favre 12, Genève",8FR8646P+6V,46.2105219,6.1372188
447,Granito,ChIJAxdOsdFljEcROTKH_2zsNMU,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.4,16,"Rue du Fort-Barreau 31-23, Genève",8FR8646Q+MM,46.2117481,6.139154
448,Restaurant Thaïlandais,ChIJu9bP4thkjEcRqkFxeoufqxQ,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3.7,3,"Rue de la Faucille 2, Genève",8FR8646Q+5W,46.2104645,6.1397786
449,Restaurant Café de la Gare Genève,ChIJvbgovdhkjEcRK3uHpOLe5qA,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.1,86,"Rue de Montbrillant 2, Genève",8FR8646R+CQ,46.2110743,6.1419264
450,Restaurant Montbrillant,ChIJgdPAsjhljEcRSfhCpYmnYKs,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,4,19,"Rue de Montbrillant 40, Genève",8FR8647R+PR,46.2142829,6.1420793
451,Red Sea,ChIJpy-dvNhkjEcROFyPADD9kVY,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,4.8,135,"Rue de Montbrillant 4, Genève",8FR8646R+FP,46.2112921,6.1417557
452,Café de la Place,ChIJKSxFWNhkjEcR484RcdZrb3E,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.4,84,"Pl. de Montbrillant 5, Genève",8FR8645R+V4,46.2097632,6.1403981
453,Olio'basilico,ChIJc8evaypljEcRp1gnheuXvns,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.5,82,"Rue des Gares 7-9, Genève",8FR8646R+JW,46.2115141,6.1422654
454,L'Europa,ChIJmSOuc-BkjEcRKXMjqefAAO0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.4,139,"Rue Richard-Wagner 1, Genève",8FR8648R+WX,46.2173297,6.1424093
455,Thai Phuket,ChIJUaj_nuFkjEcRPvwC3kt36Z8,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4,245,"Av. de France 33, Genève",8FR864CR+6Q,46.220597,6.141932
456,Sagano,ChIJ20uFCOFkjEcRU3r5qwIf5oI,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,4.2,272,"Rue de Montbrillant 86, Genève",8FR8649R+XH,46.21998,6.141467
457,"La Rose du Sable, INC., Wilmin",ChIJNcq1ZGF7jEcRLAO5NxuxisY,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.1,33,"Rue Caroline 51, Carouge",8FR854QQ+6C,46.1880011,6.1385449
458,Restaurant Lunik,ChIJA-xo09l6jEcRvZt3wI7v6mo,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.4,51,"Pl. de l'Octroi 6, Carouge",8FR854QR+55,46.1878895,6.1404709
459,Restaurant le P'tit Carougeois,ChIJk0xCsNl6jEcRVCNPGqu4VgE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.6,129,"Rue Saint-Joseph 6, Carouge",8FR854PR+H7,46.1864302,6.1406354
460,Desi Palace,ChIJic7jTNd6jEcRDKTOdTdf5Jw,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.5,123,"Rue de Carouge 91, Genève",8FR854QV+G8,46.1888086,6.1432601
461,Destino,ChIJS3suVNd6jEcRWQSRrLi213w,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,413,"Rue de Carouge 99, Genève",8FR854QV+74,46.1881759,6.1427807
462,Sawasdee,ChIJc_NahNl6jEcRtf8hE1k07c8,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.2,208,"Av. Cardinal-Mermillod 24, Carouge",8FR854PR+CX,46.1861195,6.1423574
463,MIZZICA DE GIUSEPPE CUSUMANO,ChIJJ3Dsxtl6jEcRkkAs5cTfiUg,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.7,107,"Rue du Pont-Neuf 5, Carouge",8FR854PR+VF,46.187174,6.141161
464,La Bise Restaurant,ChIJD008q2B7jEcRLwBRsJaU15Y,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,66,"Rue Roi-Victor Amé 8, Carouge",8FR854PR+5M,46.185416,6.1416312
465,Restaurant Au Rendez-Vous à Carouge,ChIJ7WcRLdp6jEcRB7WNPdSEw_A,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']",,4.4,19,"2 ème étage du centre commercial, Av. Cardinal-Mermillod 36, Carouge",8FR854PV+78,46.185667,6.143333
466,Acropolis streetfood,ChIJVXR9qJ17jEcRiPEGVSAB4nA,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.9,34,"Rue de Carouge 110bis, Genève",8FR854QV+Q5,46.1894622,6.1429855
467,El Galliano,ChIJnQ8hsNd6jEcROAyrASOBYnk,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,212,"Quai du Cheval-Blanc 10, Les Acacias",8FR854RQ+2X,46.1901205,6.1399903
468,Restaurant Spikisi,ChIJ2WaBxbN7jEcRv5RNlAvwecA,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,374,"Rue Dizerens 5, Genève",8FR854VV+48,46.1927728,6.1433194
469,Restaurant Marisqueira Le Portugais,ChIJTXAOw9V6jEcR8mCqiMNQSLQ,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,116,"Bd du Pont-d'Arve 59, Genève",8FR854VR+F5,46.1937457,6.1403805
470,Café Remor,ChIJB7gU7dVkjEcRBojSKznAaAc,"['restaurant', 'point_of_interest', 'store', 'food', 'establishment']",2,4.1,1612,"Pl. du Cirque 3, Genève",8FR8642Q+JX,46.2015465,6.1399896
